batsman,batsman_runs,balls_faced,strike_rate,wickets,is_four,is_six
A Ashish Reddy,280,196,142.85714285714286,18.0,16,15
A Chandila,4,7,57.14285714285714,11.0,0,0
A Chopra,53,75,70.66666666666667,0.0,7,0
A Choudhary,25,20,125.0,5.0,1,1
A Dananjaya,4,5,80.0,0.0,0,0
A Flintoff,62,57,108.77192982456141,2.0,5,2
A Hales,152,119,127.73109243697478,0.0,13,6
A Joseph,15,13,115.38461538461537,6.0,2,0
A Kumble,35,49,71.42857142857143,45.0,3,0
A Mishra,368,410,89.75609756097562,156.0,30,5
A Mithun,34,26,130.76923076923077,7.0,4,1
A Mukund,19,23,82.6086956521739,0.0,1,0
A Nehra,41,63,65.07936507936508,106.0,3,1
A Singh,2,10,20.0,31.0,0,0
A Symonds,974,781,124.71190781049937,20.0,74,41
A Turner,4,11,36.36363636363637,0.0,0,0
A Uniyal,4,7,57.14285714285714,2.0,0,0
A Zampa,5,8,62.5,19.0,1,0
AA Bilakhia,69,88,78.4090909090909,0.0,5,0
AA Chavan,12,11,109.09090909090908,8.0,2,0
AA Jhunjhunwala,217,218,99.54128440366972,1.0,19,5
AA Noffke,9,12,75.0,1.0,1,0
AB Agarkar,179,160,111.87499999999999,29.0,13,5
AB Barath,42,43,97.67441860465115,0.0,5,1
AB Dinda,26,50,52.0,69.0,2,0
AB McDonald,123,103,119.41747572815532,11.0,9,4
AB de Villiers,4428,2977,148.7403426268055,0.0,357,214
AC Blizzard,120,91,131.86813186813185,0.0,21,2
AC Gilchrist,2069,1555,133.05466237942122,1.0,239,92
AC Thomas,20,19,105.26315789473684,14.0,1,1
AC Voges,181,143,126.57342657342659,0.0,15,3
AD Mascarenhas,79,79,100.0,19.0,5,1
AD Mathews,724,599,120.86811352253757,27.0,44,29
AD Nath,91,99,91.91919191919192,0.0,7,2
AD Russell,1445,803,179.95018679950186,55.0,98,119
AF Milne,7,12,58.333333333333336,4.0,0,0
AG Murtaza,10,14,71.42857142857143,9.0,1,0
AG Paunikar,49,61,80.32786885245902,0.0,9,0
AJ Finch,1744,1372,127.1137026239067,1.0,176,67
AJ Tye,94,72,130.55555555555557,39.0,7,4
AL Menaria,401,367,109.26430517711172,3.0,24,18
AM Nayar,672,588,114.28571428571428,9.0,55,20
AM Rahane,3850,3215,119.75116640746502,1.0,405,74
AN Ahmed,36,27,133.33333333333331,12.0,4,1
AN Ghosh,7,8,87.5,0.0,1,0
AP Dole,34,23,147.82608695652172,5.0,3,1
AP Majumdar,87,77,112.98701298701299,0.0,7,2
AP Tare,339,285,118.94736842105263,0.0,40,11
AR Bawne,12,12,100.0,0.0,1,0
AR Patel,806,655,123.05343511450381,71.0,47,35
AS Rajpoot,18,31,58.06451612903226,22.0,2,0
AS Raut,194,172,112.79069767441861,0.0,13,7
AS Yadav,1011,760,133.02631578947367,0.0,113,28
AT Rayudu,3326,2681,124.05818724356583,0.0,278,120
